collection_no,formation,lng,lat,collection_name,n_occs,early_interval,late_interval,max_ma,min_ma
56046,Kirtland,-108.102501,36.294445,"UTEP Loc. 820, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56047,,6.211,49.811001,Medernach bonebed,1,Alaunian,,215.38,211.18
56048,,-110.766945,44.990276,"Mt Sepulcher, Yellowstone NP",1,Late Cretaceous,,100.5,66.0
56049,,-110.717499,44.996666,"Old Gardiner Road, Yellowstone NP",1,Late Cretaceous,,100.5,66.0
56084,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 21, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56085,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 22A, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56086,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 62, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56087,Fruitland/Kirtland,-108.226997,36.271099,"UTEP Loc. 66, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56088,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 73, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56089,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 122, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56090,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 127, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56091,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 131, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56092,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 160, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56093,Fruitland/Kirtland,-108.209099,36.271099,"UTEP Loc. 477, Alamo Mesa West",2,Late Campanian,,83.6,72.2
56094,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 479, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56095,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 467, Alamo Mesa West",2,Late Campanian,,83.6,72.2
56096,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 464, Alamo Mesa West",2,Late Campanian,,83.6,72.2
56097,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 468, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56098,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 469, Alamo Mesa West",2,Late Campanian,,83.6,72.2
56099,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 470, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56100,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 471, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56101,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 399, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56102,Fruitland/Kirtland,-108.167503,36.269444,"UTEP Loc. 528, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56103,Fruitland/Kirtland,-108.167503,36.269444,"UTEP Loc. 527, Alamo Mesa West",2,Late Campanian,,83.6,72.2
56104,Fruitland/Kirtland,-108.167503,36.269444,"UTEP Loc. 538, Alamo Mesa West",2,Late Campanian,,83.6,72.2
56105,Fruitland/Kirtland,-108.167503,36.269444,"UTEP Loc. 530, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56106,Fruitland/Kirtland,-108.191299,36.300201,"UTEP Loc. 427, Alamo Mesa West",2,Late Campanian,,83.6,72.2
56107,Fruitland/Kirtland,-108.191299,36.300201,"UTEP Loc. 433, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56108,Fruitland/Kirtland,-108.191299,36.300201,"UTEP Loc. 437, Alamo Mesa West",3,Late Campanian,,83.6,72.2
56109,Fruitland/Kirtland,-108.191299,36.300201,"UTEP Loc. 420, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56110,Fruitland/Kirtland,-108.191299,36.300201,"UTEP Loc. 421, Alamo Mesa West",2,Late Campanian,,83.6,72.2
56111,Fruitland/Kirtland,-108.191299,36.300201,"UTEP Loc. 438, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56112,Fruitland/Kirtland,-108.091499,36.191502,"UTEP Loc. 843, Pretty Rock",1,Late Campanian,,83.6,72.2
56113,Fruitland/Kirtland,-108.091499,36.191502,"UTEP Loc. 841, Pretty Rock",2,Late Campanian,,83.6,72.2
56114,Fruitland/Kirtland,-108.091499,36.191502,"UTEP Loc. 187, Pretty Rock",1,Late Campanian,,83.6,72.2
56115,Fruitland/Kirtland,-108.084198,36.227501,"UTEP Loc. 803, Pretty Rock",1,Late Campanian,,83.6,72.2
56116,Fruitland/Kirtland,-108.066399,36.227501,"UTEP Loc. 796, Pretty Rock",1,Late Campanian,,83.6,72.2
56117,Fruitland/Kirtland,-108.074501,36.220402,"UTEP Loc. 807, Pretty Rock",1,Late Campanian,,83.6,72.2
56118,Fruitland,-108.074501,36.220402,"UTEP Loc. 809, Pretty Rock",2,Late Campanian,,83.6,72.2
56119,Fruitland/Kirtland,-108.066399,36.213001,"UTEP Loc. 813, Pretty Rock",1,Late Campanian,,83.6,72.2
56120,Fruitland/Kirtland,-108.074501,36.220402,"UTEP Loc. 808, Pretty Rock",1,Late Campanian,,83.6,72.2
56121,Fruitland/Kirtland,-108.084198,36.213001,"UTEP Loc. 811, Pretty Rock",1,Late Campanian,,83.6,72.2
56122,Fruitland/Kirtland,-108.074501,36.220402,"UTEP Loc. 815, Pretty Rock",1,Late Campanian,,83.6,72.2
56129,,-6.5908,31.2647,"Douar of Tazouda, locality A",2,Pliensbachian,Toarcian,192.9,174.7
56130,,-6.5908,31.2647,"Douar of Tazouda, locality B",2,Pliensbachian,Toarcian,192.9,174.7
56131,Moenave,-113.534943,37.101555,St. George Dinosaur Discovery Tracksite (Main Track Layer),2,Hettangian,,201.4,199.5
56132,Stump,-109.421387,40.914444,Flaming Gorge Reservoir tracksite,1,Middle Callovian,,165.3,161.5
56133,Sundance,-107.833054,44.527779,"Red Gulch Dinosaur Tracksite, UW V-98066",1,Bathonian,,168.2,165.3
56155,Fengjiahe,102.542198,24.355,Jiaojiadian (YXV),1,Hettangian,,201.4,199.5
56156,Los Colorados,-66.083298,-30.4167,Paraje La Esquina,1,Norian,,227.3,205.7
56157,Bajo de la Carpa,-68.900002,-37.383331,Cañadón Río Seco,1,Middle Santonian,,85.7,83.6
56165,Morrison,-104.734001,44.458099,"SDSM V931, Mile 175",4,Kimmeridgian,Tithonian,154.8,143.1
56167,La Posa,1.0357,42.102299,Isona Sud,1,Early Maastrichtian,,72.2,66.0
56188,Santa Maria,-53.774166,-29.697779,"Wald Sanga, Huene Loc. 1 (5m)",1,Carnian,Norian,237.0,205.7
56261,Fruitland/Kirtland,-107.96167,36.060555,"UTEP Loc. 845, Pueblo Bonito NW",3,Late Campanian,,83.6,72.2
56262,Fruitland/Kirtland,-107.96167,36.060555,"UTEP Loc. 779, Pueblo Bonito NW",3,Late Campanian,,83.6,72.2
56263,Fruitland/Kirtland,-107.96167,36.060555,"UTEP Loc. 784, Pueblo Bonito NW",1,Late Campanian,,83.6,72.2
56265,Fruitland/Kirtland,-107.96167,36.060555,"UTEP Loc. 788, Pueblo Bonito NW",3,Late Campanian,,83.6,72.2
56266,Fruitland/Kirtland,-108.066399,36.343899,"UTEP Loc. 655, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56267,Fruitland/Kirtland,-108.066399,36.343899,"UTEP Loc. 662, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56268,Fruitland/Kirtland,-108.066399,36.343899,"UTEP Loc. 659, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56269,Fruitland/Kirtland,-108.066399,36.343899,"UTEP Loc. 658, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56270,Fruitland/Kirtland,-108.066399,36.343899,"UTEP Loc. 661, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56271,Fruitland/Kirtland,-108.102501,36.294445,"UTEP Loc. 666, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56272,Fruitland/Kirtland,-108.102501,36.294445,"UTEP Loc. 668, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56274,Fruitland/Kirtland,-108.0485,36.3293,"UTEP Loc. 671, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56275,Fruitland/Kirtland,-108.0485,36.3293,"UTEP Loc. 672, Alamo Mesa East",2,Late Campanian,,83.6,72.2
56277,Fruitland/Kirtland,-108.102501,36.284443,"UTEP Loc. 825, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56278,Fruitland/Kirtland,-108.166946,36.269444,"UTEP Loc. 688, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56284,Fruitland/Kirtland,-108.084198,36.300201,"UTEP Loc. 729, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56286,Fruitland/Kirtland,-108.084198,36.300201,"UTEP Loc. 722, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56287,Fruitland/Kirtland,-108.084198,36.300201,"UTEP Loc. 728, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56291,Fruitland/Kirtland,-108.173401,36.256599,"UTEP Loc. 99, Alamo Mesa West",2,Late Campanian,,83.6,72.2
56293,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 71, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56294,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 133, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56295,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 134, Alamo Mesa West",3,Late Campanian,,83.6,72.2
56297,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 369, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56298,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 376, Alamo Mesa West",3,Late Campanian,,83.6,72.2
56299,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 380, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56300,Tatsunokuchi,141.17778,39.066113,Masesawa,1,Zanclean,,5.333,3.6
56301,Camarillas,-0.8269,40.369701,"CT-75 tracksite, El Castellar",1,Early Barremian,,125.77,121.4
56302,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 382, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56303,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 385, Alamo Mesa West",2,Late Campanian,,83.6,72.2
56304,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 387, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56306,Fruitland/Kirtland,-108.173401,36.3148,"UTEP Loc. 404, Alamo Mesa West",4,Late Campanian,,83.6,72.2
56307,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 451, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56308,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 453, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56309,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 553, Alamo Mesa West",3,Late Campanian,,83.6,72.2
56310,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 193, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56311,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 570, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56312,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 632, Alamo Mesa West",2,Late Campanian,,83.6,72.2
56315,Fruitland/Kirtland,-108.256111,36.277779,"UTEP Loc. 25, Bisti Trading Post",1,Late Campanian,,83.6,72.2
56316,Fruitland/Kirtland,-108.256111,36.277779,"UTEP Loc. 92, Bisti Trading Post",4,Late Campanian,,83.6,72.2
56317,Fruitland/Kirtland,-108.256111,36.277779,"UTEP Loc. 181, Bisti Trading Post",2,Late Campanian,,83.6,72.2
56318,Fruitland/Kirtland,-107.636391,36.020832,"UTEP Loc. 864, Fire Rock Well",1,Late Campanian,,83.6,72.2
56319,Fruitland/Kirtland,-107.636391,36.020832,"UTEP Loc. 866, Fire Rock Well",1,Late Campanian,,83.6,72.2
56320,Fruitland/Kirtland,-107.636391,36.020832,"UTEP Loc. 863, Fire Rock Well",1,Late Campanian,,83.6,72.2
56321,Morrison,-109.557777,37.021942,Boundary Butte tracksite,2,Kimmeridgian,,154.8,149.2
56322,Fruitland/Kirtland,-107.834396,36.1548,"UTEP Loc. 202, Kimbeto",1,Late Campanian,,83.6,72.2
56323,Fruitland/Kirtland,-106.538803,35.9063,"UTEP Loc. 892, Ojo Encino Mesa",1,Late Campanian,,83.6,72.2
56324,Fruitland/Kirtland,-107.495399,35.965698,"UTEP Loc. 874, Pueblo Alto Trading Post",1,Late Campanian,,83.6,72.2
56325,Fruitland/Kirtland,-107.959297,36.1693,"UTEP Loc. 770, Pueblo Bonito NW",1,Late Campanian,,83.6,72.2
56326,Fruitland/Kirtland,-107.959297,36.1693,"UTEP Loc. 771, Pueblo Bonito NW",1,Late Campanian,,83.6,72.2
56359,Ichijiku,140.0,35.266701,Ichijiku,6,Middle Pleistocene,,0.774,0.129
56360,Fruitland/Kirtland,-107.941498,36.1693,"UTEP Loc. 777, Pueblo Bonito NW",1,Late Campanian,,83.6,72.2
56361,Fruitland/Kirtland,-107.96167,36.060555,"UTEP Loc. 794, Pueblo Bonito NW",1,Late Campanian,,83.6,72.2
56363,Fruitland/Kirtland,-107.96167,36.060555,"UTEP Loc. 336, Pueblo Bonito NW",1,Late Campanian,,83.6,72.2
56364,Fruitland/Kirtland,-107.96167,36.060555,"UTEP Loc. 259, Pueblo Bonito NW",1,Late Campanian,,83.6,72.2
56365,Alcântara,-44.461399,-2.4781,"Laje do Coringa, Ilha do Cajual",15,Cenomanian,,100.5,93.9
56366,Fruitland/Kirtland,-107.941498,36.227501,"UTEP Loc. 267, Pueblo Bonito NW",2,Late Campanian,,83.6,72.2
56367,Fruitland/Kirtland,-107.941498,36.227501,"UTEP Loc. 268, Pueblo Bonito NW",1,Late Campanian,,83.6,72.2
56368,Fruitland/Kirtland,-107.941498,36.227501,"UTEP Loc. 272, Pueblo Bonito NW",1,Late Campanian,,83.6,72.2
56369,Fruitland/Kirtland,-107.941498,36.227501,"UTEP Loc. 271, Pueblo Bonito NW",1,Late Campanian,,83.6,72.2
56370,Fruitland/Kirtland,-107.941498,36.227501,"UTEP Loc. 274, Pueblo Bonito NW",2,Late Campanian,,83.6,72.2
56371,Fruitland/Kirtland,-107.798058,36.024445,"UTEP Loc. 286, Sargent Ranch",1,Late Campanian,,83.6,72.2
56372,Fruitland/Kirtland,-107.798058,36.024445,"UTEP Loc. 291, Sargent Ranch",2,Late Campanian,,83.6,72.2
56373,Fruitland/Kirtland,-107.798058,36.024445,"UTEP Loc. 290, Sargent Ranch",2,Late Campanian,,83.6,72.2
56374,Fruitland/Kirtland,-107.798058,36.024445,"UTEP Loc. 298, Sargent Ranch",1,Late Campanian,,83.6,72.2
56375,Fruitland/Kirtland,-107.798058,36.024445,"UTEP Loc. 312, Sargent Ranch",1,Late Campanian,,83.6,72.2
56378,Fruitland/Kirtland,-107.798058,36.024445,"UTEP Loc. 339, Sargent Ranch",2,Late Campanian,,83.6,72.2
56379,Fruitland/Kirtland,-107.798058,36.024445,"UTEP Loc. 330, Sargent Ranch",1,Late Campanian,,83.6,72.2
56381,Fruitland/Kirtland,-107.455276,35.896942,"UTEP Loc. 885, Star Lake",1,Late Campanian,,83.6,72.2
56383,Fruitland/Kirtland,-108.191299,36.242001,"UTEP Loc. 27, Tanner Lake",1,Late Campanian,,83.6,72.2
56384,Fruitland/Kirtland,-108.191299,36.242001,"UTEP Loc. 28, Tanner Lake",1,Late Campanian,,83.6,72.2
56385,Fruitland/Kirtland,-108.191299,36.242001,"UTEP Loc. 30, Tanner Lake",3,Late Campanian,,83.6,72.2
56386,Fruitland/Kirtland,-108.191299,36.242001,"UTEP Loc. 84, Tanner Lake",1,Late Campanian,,83.6,72.2
56387,Fruitland/Kirtland,-108.191299,36.242001,"UTEP Loc. 85, Tanner Lake",1,Late Campanian,,83.6,72.2
56388,Fruitland/Kirtland,-108.191299,36.242001,"UTEP Loc. 176, Tanner Lake",1,Late Campanian,,83.6,72.2
56389,Mancos/Gullup,-108.754723,35.273888,"UTEP Loc. 959, Vanderwagen",1,Turonian,Coniacian,93.9,85.7
56390,Fruitland/Kirtland,-108.109444,36.142776,"UTEP Loc. 817, Pretty Rock",1,Late Campanian,,83.6,72.2
56391,Fruitland/Kirtland,-107.96167,36.060555,"UTEP Loc. 776, Pueblo Bonito NW",1,Late Campanian,,83.6,72.2
56392,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 558, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56393,Fruitland/Kirtland,-107.797775,36.024445,"UTEP Loc. 315, Sargent Ranch",1,Late Campanian,,83.6,72.2
56421,Morrison,-102.834396,36.9165,"Stovall's Pit 3A, Kenton (OMNH)",1,Late Kimmeridgian,Tithonian,152.21,143.1
56422,Morrison,-102.983498,36.921398,"Stovall's Pit 9, Kenton (OMNH V98)",1,Late Kimmeridgian,Tithonian,152.21,143.1
56424,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 363, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56425,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 368, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56426,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 414, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56427,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 439, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56428,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 460, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56429,Fruitland/Kirtland,-108.144447,36.270279,"UTEP Loc. 463, Alamo Mesa West",2,Late Campanian,,83.6,72.2
56430,Fruitland/Kirtland,-108.137703,36.3293,"UTEP Loc. 364, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56431,Fruitland/Kirtland,-108.137703,36.343899,"UTEP Loc. 365, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56432,Fruitland/Kirtland,-108.173401,36.3148,"UTEP Loc. 402, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56434,Fruitland/Kirtland,-108.173401,36.3148,"UTEP Loc. 403, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56435,Fruitland/Kirtland,-108.173401,36.3148,"UTEP Loc. 410, Alamo Mesa West",1,Late Campanian,,83.6,72.2
56436,Fruitland/Kirtland,-108.256111,36.277779,"UTEP Loc. 156, Bisti Trading Post",3,Late Campanian,,83.6,72.2
56437,Fruitland/Kirtland,-107.841393,36.183613,"UTEP Loc. 217, Kimbeto",1,Late Campanian,,83.6,72.2
56438,Fruitland/Kirtland,-107.834396,36.242001,"UTEP Loc. 243, Kimbeto",1,Late Campanian,,83.6,72.2
56440,Fruitland/Kirtland,-107.96167,36.060555,"UTEP Loc. 277, Pueblo Bonito NW",1,Late Campanian,,83.6,72.2
56441,Fruitland/Kirtland,-107.798058,36.024445,"UTEP Loc. 306, Sargent Ranch",1,Late Campanian,,83.6,72.2
56442,Fruitland/Kirtland,-107.852203,36.0966,"UTEP Loc. 302, Sargent Ranch",2,Late Campanian,,83.6,72.2
56443,Fruitland/Kirtland,-108.119904,36.285702,"UTEP Loc. 575, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56444,Fruitland/Kirtland,-108.119904,36.285702,"UTEP Loc. 578, Alamo Mesa East",2,Late Campanian,,83.6,72.2
56445,Fruitland/Kirtland,-108.119904,36.183899,"UTEP Loc. 582, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56446,Fruitland/Kirtland,-108.0485,36.3293,"UTEP Loc. 664, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56447,Fruitland/Kirtland,-108.0485,36.300201,"UTEP Loc. 698, Alamo Mesa East",2,Late Campanian,,83.6,72.2
56448,Fruitland/Kirtland,-108.066399,36.300201,"UTEP Loc. 699, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56449,Fruitland/Kirtland,-108.102097,36.285702,"UTEP Loc. 732, Alamo Mesa East",2,Late Campanian,,83.6,72.2
56450,Fruitland/Kirtland,-108.066399,36.300201,"UTEP Loc. 703, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56451,Fruitland/Kirtland,-108.102097,36.300201,"UTEP Loc. 735, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56452,Fruitland/Kirtland,-108.102097,36.300201,"UTEP Loc. 739, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56453,Fruitland/Kirtland,-108.102501,36.294445,"UTEP Loc. 709, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56454,Fruitland/Kirtland,-108.102501,36.294445,"UTEP Loc. 711, Alamo Mesa East",1,Late Campanian,,83.6,72.2
56455,Fruitland/Kirtland,-108.661697,35.4576,"UTEP Loc. 855, Bread Springs",1,Late Campanian,,83.6,72.2
56456,Fruitland/Kirtland,-107.388298,35.9221,"UTEP Loc. 875, Star Lake",1,Late Campanian,,83.6,72.2
56457,Fruitland/Kirtland,-107.370499,35.9221,"UTEP Loc. 876, Star Lake",1,Late Campanian,,83.6,72.2
56458,Fruitland/Kirtland,-107.477501,35.965698,"UTEP Loc. 879, Star Lake",1,Late Campanian,,83.6,72.2
56463,Sousa,-38.260834,-6.733611,Passagem das Pedras (SOPP),9,Berriasian,Hauterivian,143.1,125.77
56553,Botucatu,-47.3167,-21.0833,"Califórnia quarry, Araraquara (ARCA)",1,Aptian,,121.4,113.2
56556,Corda,-47.516666,-5.716667,São Domingos tracksite,2,Barremian,,125.77,121.4
56557,Antenor Navarro,-38.308334,-6.693333,"Serrote do Letreiro (SOSL), level A",5,Berriasian,Valanginian,143.1,132.6
56559,Botucatu,-47.3167,-21.0833,"Cerrito Velho quarry, Araraquara (ARCE)",2,Aptian,,121.4,113.2
56560,Botucatu,-48.073055,-21.817499,"São Bento quarry, Araraquara (ARSB)",2,Aptian,,121.4,113.2
56566,Kirtland,-107.816597,36.1548,"UTEP Loc. 2, Kimbeto",1,Late Campanian,,83.6,72.2
56567,Kirtland,-107.816597,36.1548,"UTEP Loc. 3, Kimbeto",1,Late Campanian,,83.6,72.2
56569,Kirtland,-107.816597,36.1548,"UTEP Loc. 4, Kimbeto",3,Late Campanian,,83.6,72.2
56570,Kirtland,-107.816597,36.1548,"UTEP Loc. 5, Kimbeto",1,Late Campanian,,83.6,72.2
56571,Kirtland,-107.816597,36.1548,"UTEP Loc. 204, Kimbeto",2,Late Campanian,,83.6,72.2
56572,Kirtland,-107.816597,36.1693,"UTEP Loc. 209, Kimbeto",1,Late Campanian,,83.6,72.2
56575,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. 612, Star Lake",1,Late Campanian,,83.6,72.2
56576,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. D6183, Star Lake",1,Late Campanian,,83.6,72.2
56577,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. 6275, Star Lake",1,Late Campanian,,83.6,72.2
56578,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. C62910, Star Lake",1,Late Campanian,,83.6,72.2
56579,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. C62911, Star Lake",1,Late Campanian,,83.6,72.2
56580,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. D811, Star Lake",1,Late Campanian,,83.6,72.2
56581,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. D813, Star Lake",1,Late Campanian,,83.6,72.2
56582,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. D8254, Star Lake",1,Late Campanian,,83.6,72.2
56584,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. D8271, Star Lake",1,Late Campanian,,83.6,72.2
56585,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. 614, Star Lake",1,Late Campanian,,83.6,72.2
56586,Morrison,-109.036133,39.200081,"Bollan Quarry, Rabbit Valley",2,Kimmeridgian,Tithonian,154.8,143.1
56587,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. 626, Star Lake",1,Late Campanian,,83.6,72.2
56588,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. A61213, Star Lake",1,Late Campanian,,83.6,72.2
56589,Fruitland/Kirtland,-107.582497,35.991943,Star Lake Loc. C6172 (UTEP),1,Late Campanian,,83.6,72.2
56590,Morrison,-109.036133,39.200081,Rabbit Valley Iguanodon,3,Kimmeridgian,,154.8,149.2
56591,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. B6172, Star Lake",1,Late Campanian,,83.6,72.2
56593,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. C6173, Star Lake",1,Late Campanian,,83.6,72.2
56594,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. B61711, Star Lake",1,Late Campanian,,83.6,72.2
56595,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. B6206, Star Lake",1,Late Campanian,,83.6,72.2
56596,Morrison,-109.036133,39.200081,Rabbit Valley Camarasaurus,1,Kimmeridgian,Tithonian,154.8,143.1
56597,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. C6277, Star Lake",1,Late Campanian,,83.6,72.2
56598,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. C6343, Star Lake",1,Late Campanian,,83.6,72.2
56599,Morrison,-109.036133,39.200081,Rabbit Valley stop 11,1,Kimmeridgian,Tithonian,154.8,143.1
56601,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. D781, Star Lake",1,Late Campanian,,83.6,72.2
56602,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. D812, Star Lake",1,Late Campanian,,83.6,72.2
56603,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. A895, Star Lake",1,Late Campanian,,83.6,72.2
56604,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. A896, Star Lake",1,Late Campanian,,83.6,72.2
56605,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. A897, Star Lake",1,Late Campanian,,83.6,72.2
56606,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. A8163, Star Lake ",1,Late Campanian,,83.6,72.2
56607,Fruitland/Kirtland,-107.582497,35.991943,"UTEP Loc. B8173, Star Lake",1,Late Campanian,,83.6,72.2
56613,Fruitland,-107.0,36.0,UCMP V-71075,1,Late Campanian,,83.6,72.2
56614,,-105.200546,38.373055,Chandler locality,5,Campanian,Maastrichtian,83.6,66.0
56616,Fruitland/Kirtland,-108.244797,36.285702,KU 17,2,Late Campanian,,83.6,72.2
56617,,-108.703987,39.841366,Rocky Point Draw locality,1,Campanian,Maastrichtian,83.6,66.0
56621,,-108.320915,39.148594,Beaver Tail locality,1,Campanian,Maastrichtian,83.6,66.0
56622,Fruitland,-108.244797,36.271099,KU 18,3,Late Campanian,,83.6,72.2
56624,Fruitland/Kirtland,-108.209099,36.271099,KU 34,1,Late Campanian,,83.6,72.2
56625,Kirtland,-108.209099,36.271099,KU 35 (#35 Hunters Wash),1,Late Campanian,,83.6,72.2
56627,Fruitland/Kirtland,-108.209099,36.271099,KU 37,3,Late Campanian,,83.6,72.2
56634,Crevasse Canyon,-108.060898,35.574501,KU 38,1,Coniacian,Santonian,89.8,83.6
56637,Fruitland/Kirtland,-108.209099,36.256599,KU 43,2,Late Campanian,,83.6,72.2
56638,Fruitland/Kirtland,-108.226997,36.271099,KU 45,2,Late Campanian,,83.6,72.2
